case,field,type,status,computed,reference,diff
Calculate_C_alpha.0.0.1,default_cn_alpha,scalar,IDENTICAL,1.2426986744328061,1.2426986744328061,
Calculate_C_alpha.0.0.1,default_cl_alpha,scalar,IDENTICAL,1.2427454576387555,1.2427454576387555,
Calculate_C_alpha.0.0.1,default_alpha0,scalar,IDENTICAL,-4.4551061746057767E-002,-4.4551061746057767E-002,
Calculate_C_alpha.0.0.1,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.1,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.2,default_cn_alpha,scalar,IDENTICAL,1.2488577573259025,1.2488577573259025,
Calculate_C_alpha.0.0.2,default_cl_alpha,scalar,IDENTICAL,1.2490479933851948,1.2490479933851948,
Calculate_C_alpha.0.0.2,default_alpha0,scalar,IDENTICAL,-4.5930650056147194E-002,-4.5930650056147194E-002,
Calculate_C_alpha.0.0.2,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.2,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.3,default_cn_alpha,scalar,IDENTICAL,1.2581468923471908,1.2581468923471908,
Calculate_C_alpha.0.0.3,default_cl_alpha,scalar,IDENTICAL,1.2582153181072879,1.2582153181072879,
Calculate_C_alpha.0.0.3,default_alpha0,scalar,IDENTICAL,-4.6284572663941440E-002,-4.6284572663941440E-002,
Calculate_C_alpha.0.0.3,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.3,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.4,default_cn_alpha,scalar,IDENTICAL,1.2581540466333012,1.2581540466333012,
Calculate_C_alpha.0.0.4,default_cl_alpha,scalar,IDENTICAL,1.2582153181072879,1.2582153181072879,
Calculate_C_alpha.0.0.4,default_alpha0,scalar,IDENTICAL,-4.6618088293573244E-002,-4.6618088293573244E-002,
Calculate_C_alpha.0.0.4,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.4,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.5,default_cn_alpha,scalar,IDENTICAL,1.2611371982651720,1.2611371982651720,
Calculate_C_alpha.0.0.5,default_cl_alpha,scalar,IDENTICAL,1.2610801070829425,1.2610801070829425,
Calculate_C_alpha.0.0.5,default_alpha0,scalar,IDENTICAL,-4.6812267137174512E-002,-4.6812267137174512E-002,
Calculate_C_alpha.0.0.5,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.5,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.6,default_cn_alpha,scalar,IDENTICAL,1.2564078410485349,1.2564078410485349,
Calculate_C_alpha.0.0.6,default_cl_alpha,scalar,IDENTICAL,1.2570694025170257,1.2570694025170257,
Calculate_C_alpha.0.0.6,default_alpha0,scalar,IDENTICAL,-4.7042130290826698E-002,-4.7042130290826698E-002,
Calculate_C_alpha.0.0.6,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.6,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.7,default_cn_alpha,scalar,IDENTICAL,1.2604824828853538,1.2604824828853538,
Calculate_C_alpha.0.0.7,default_cl_alpha,scalar,IDENTICAL,1.2605071492878117,1.2605071492878117,
Calculate_C_alpha.0.0.7,default_alpha0,scalar,IDENTICAL,-4.7081720763987950E-002,-4.7081720763987950E-002,
Calculate_C_alpha.0.0.7,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.7,errmsg2,scalar,IDENTICAL,,,
