case,field,type,status,computed,reference,diff
Compute_iLoweriUpper.0.0.1,iupper,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.1,ilower,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.2,iupper,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.2,ilower,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.3,iupper,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.3,ilower,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.4,iupper,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.4,ilower,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.5,iupper,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.5,ilower,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.6,iupper,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.6,ilower,scalar,IDENTICAL,94,94,
Compute_iLoweriUpper.0.0.7,iupper,scalar,IDENTICAL,110,110,
Compute_iLoweriUpper.0.0.7,ilower,scalar,IDENTICAL,99,99,
Compute_iLoweriUpper.0.0.8,iupper,scalar,IDENTICAL,107,107,
Compute_iLoweriUpper.0.0.8,ilower,scalar,IDENTICAL,89,89,
Compute_iLoweriUpper.0.0.9,iupper,scalar,IDENTICAL,110,110,
Compute_iLoweriUpper.0.0.9,ilower,scalar,IDENTICAL,87,87,
Compute_iLoweriUpper.0.0.10,iupper,scalar,IDENTICAL,111,111,
Compute_iLoweriUpper.0.0.10,ilower,scalar,IDENTICAL,84,84,
Compute_iLoweriUpper.0.0.11,iupper,scalar,IDENTICAL,111,111,
Compute_iLoweriUpper.0.0.11,ilower,scalar,IDENTICAL,84,84,
Compute_iLoweriUpper.0.0.12,iupper,scalar,IDENTICAL,111,111,
Compute_iLoweriUpper.0.0.12,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.13,iupper,scalar,IDENTICAL,111,111,
Compute_iLoweriUpper.0.0.13,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.14,iupper,scalar,IDENTICAL,111,111,
Compute_iLoweriUpper.0.0.14,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.15,iupper,scalar,IDENTICAL,111,111,
Compute_iLoweriUpper.0.0.15,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.16,iupper,scalar,IDENTICAL,111,111,
Compute_iLoweriUpper.0.0.16,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.17,iupper,scalar,IDENTICAL,110,110,
Compute_iLoweriUpper.0.0.17,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.18,iupper,scalar,IDENTICAL,110,110,
Compute_iLoweriUpper.0.0.18,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.19,iupper,scalar,IDENTICAL,110,110,
Compute_iLoweriUpper.0.0.19,ilower,scalar,IDENTICAL,85,85,
Compute_iLoweriUpper.0.0.20,iupper,scalar,IDENTICAL,110,110,
Compute_iLoweriUpper.0.0.20,ilower,scalar,IDENTICAL,85,85,
